2026-06-27 09:33:43 | INFO     | __main__ | [GET] /api/health ¡ú 200 in 0.00s
2026-06-27 09:33:43 | INFO     | hrms_manager | [HRMS] Building department summary...
2026-06-27 09:33:43 | INFO     | __main__ | [GET] /api/dashboard ¡ú 200 in 0.00s
2026-06-27 09:33:51 | INFO     | __main__ | [GET] /api/employees ¡ú 200 in 0.00s
2026-06-27 09:33:51 | INFO     | __main__ | [GET] /api/employees ¡ú 200 in 0.00s
2026-06-27 09:33:51 | INFO     | __main__ | [GET] /api/attendance/daily ¡ú 200 in 0.00s
2026-06-27 09:33:51 | INFO     | __main__ | [GET] /api/leave/requests/pending ¡ú 200 in 0.00s
2026-06-27 09:33:53 | INFO     | __main__ | [GET] /api/health ¡ú 200 in 0.00s
2026-06-27 09:33:55 | INFO     | development_manager | Extracting skills for employee: EMP005
2026-06-27 09:33:55 | INFO     | embedding_mgr | \u23f1\ufe0f  Starting load_employee_db...
2026-06-27 09:33:55 | INFO     | embedding_mgr | Loading employee DB: EMP005 (cv)
2026-06-27 09:33:55 | INFO     | version_manager | No existing metadata for EMP005_cv
2026-06-27 09:33:55 | WARNING  | version_manager | No current DB ID for EMP005_cv
2026-06-27 09:33:55 | ERROR    | embedding_mgr | No embedded cv found for employee: EMP005
2026-06-27 09:33:55 | ERROR    | embedding_mgr | \u274c Failed load_employee_db after 0.00s: No embedded cv found for employee: EMP005
2026-06-27 09:33:55 | INFO     | development_manager |   \u2139\ufe0f  No cv database found for employee EMP005 (document not yet embedded)
2026-06-27 09:33:55 | INFO     | embedding_mgr | \u23f1\ufe0f  Starting load_employee_db...
2026-06-27 09:33:55 | INFO     | embedding_mgr | Loading employee DB: EMP005 (profile)
2026-06-27 09:33:55 | INFO     | version_manager | Loaded metadata for EMP005_profile: 1 versions
2026-06-27 09:33:55 | INFO     | version_manager | Current DB ID for EMP005_profile: EMP005_profile_6177e41dfed5
2026-06-27 09:33:55 | INFO     | embedding_mgr | Found DB ID: EMP005_profile_6177e41dfed5
2026-06-27 09:33:55 | INFO     | embedding_mgr | \u23f1\ufe0f  Starting load_db...
2026-06-27 09:33:55 | INFO     | embedding_mgr | Loading FAISS index from disk: EMP005_profile_6177e41dfed5
2026-06-27 09:33:55 | INFO     | embedding_mgr |   Path: F:\Kyle\Coding\ESG_HRMS\data\AIDB\vector_dbs\employees\EMP005\profile\EMP005_profile_6177e41dfed5
2026-06-27 09:33:55 | INFO     | embedding_mgr | Index file size: 0.0 MB
2026-06-27 09:33:56 | INFO     | embedding_mgr | Lazy-loading embedding model: ./AImodels/embedding_model
2026-06-27 09:33:56 | INFO     | embedding_mgr | Device: cpu
2026-06-27 09:34:05 | INFO     | sentence_transformers.base.model | Loading SentenceTransformer model from ./AImodels/embedding_model.
Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]Loading weights: 100%|¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€| 199/199 [00:00<00:00, 6610.49it/s]
2026-06-27 09:34:07 | INFO     | embedding_mgr | Embedding model loaded in 11.25s
2026-06-27 09:34:07 | INFO     | faiss.loader | Loading faiss with AVX2 support.
2026-06-27 09:34:07 | INFO     | faiss.loader | Could not load library with AVX2 support due to:
ModuleNotFoundError("No module named 'faiss.swigfaiss_avx2'")
2026-06-27 09:34:07 | INFO     | faiss.loader | Loading faiss.
2026-06-27 09:34:07 | INFO     | faiss.loader | Successfully loaded faiss.
2026-06-27 09:34:07 | INFO     | embedding_mgr | Index loaded successfully
2026-06-27 09:34:07 | INFO     | embedding_mgr | \u2705 Completed load_db in 11.96s
2026-06-27 09:34:07 | INFO     | embedding_mgr | \u2705 Completed load_employee_db in 11.97s
2026-06-27 09:34:07 | INFO     | development_manager |   \u2713 Retrieved 4 chunks from profile vector DB
2026-06-27 09:34:07 | INFO     | development_manager |   Found 14 skills for EMP005
2026-06-27 09:34:07 | INFO     | __main__ | [GET] /api/employees/EMP005/skills ¡ú 200 in 12.05s
2026-06-27 09:34:07 | INFO     | __main__ | [GET] /api/health ¡ú 200 in 0.00s
2026-06-27 09:34:10 | INFO     | development_manager | Extracting skills for employee: EMP005
2026-06-27 09:34:10 | INFO     | embedding_mgr | \u23f1\ufe0f  Starting load_employee_db...
2026-06-27 09:34:10 | INFO     | embedding_mgr | Loading employee DB: EMP005 (cv)
2026-06-27 09:34:10 | INFO     | version_manager | No existing metadata for EMP005_cv
2026-06-27 09:34:10 | WARNING  | version_manager | No current DB ID for EMP005_cv
2026-06-27 09:34:10 | ERROR    | embedding_mgr | No embedded cv found for employee: EMP005
2026-06-27 09:34:10 | ERROR    | embedding_mgr | \u274c Failed load_employee_db after 0.00s: No embedded cv found for employee: EMP005
2026-06-27 09:34:10 | INFO     | development_manager |   \u2139\ufe0f  No cv database found for employee EMP005 (document not yet embedded)
2026-06-27 09:34:10 | INFO     | embedding_mgr | \u23f1\ufe0f  Starting load_employee_db...
2026-06-27 09:34:10 | INFO     | embedding_mgr | Loading employee DB: EMP005 (profile)
2026-06-27 09:34:10 | INFO     | version_manager | Loaded metadata for EMP005_profile: 1 versions
2026-06-27 09:34:10 | INFO     | version_manager | Current DB ID for EMP005_profile: EMP005_profile_6177e41dfed5
2026-06-27 09:34:10 | INFO     | embedding_mgr | Found DB ID: EMP005_profile_6177e41dfed5
2026-06-27 09:34:10 | INFO     | embedding_mgr | \u23f1\ufe0f  Starting load_db...
2026-06-27 09:34:10 | INFO     | embedding_mgr | Using cached FAISS index: EMP005_profile_6177e41dfed5
2026-06-27 09:34:10 | INFO     | embedding_mgr | \u2705 Completed load_db in 0.00s
2026-06-27 09:34:10 | INFO     | embedding_mgr | \u2705 Completed load_employee_db in 0.00s
2026-06-27 09:34:10 | INFO     | development_manager |   \u2713 Retrieved 4 chunks from profile vector DB
2026-06-27 09:34:10 | INFO     | development_manager |   Found 14 skills for EMP005
2026-06-27 09:34:10 | INFO     | __main__ | [GET] /api/employees/EMP005/skills ¡ú 200 in 0.06s
2026-06-27 09:34:13 | INFO     | __main__ | [GET] /api/health ¡ú 200 in 0.00s
2026-06-27 09:34:17 | INFO     | development_manager | Extracting skills for employee: EMP003
2026-06-27 09:34:17 | INFO     | embedding_mgr | \u23f1\ufe0f  Starting load_employee_db...
2026-06-27 09:34:17 | INFO     | embedding_mgr | Loading employee DB: EMP003 (cv)
2026-06-27 09:34:17 | INFO     | version_manager | No existing metadata for EMP003_cv
2026-06-27 09:34:17 | WARNING  | version_manager | No current DB ID for EMP003_cv
2026-06-27 09:34:17 | ERROR    | embedding_mgr | No embedded cv found for employee: EMP003
2026-06-27 09:34:17 | ERROR    | embedding_mgr | \u274c Failed load_employee_db after 0.00s: No embedded cv found for employee: EMP003
2026-06-27 09:34:17 | INFO     | development_manager |   \u2139\ufe0f  No cv database found for employee EMP003 (document not yet embedded)
2026-06-27 09:34:17 | INFO     | embedding_mgr | \u23f1\ufe0f  Starting load_employee_db...
2026-06-27 09:34:17 | INFO     | embedding_mgr | Loading employee DB: EMP003 (profile)
2026-06-27 09:34:17 | INFO     | version_manager | Loaded metadata for EMP003_profile: 1 versions
2026-06-27 09:34:17 | INFO     | version_manager | Current DB ID for EMP003_profile: EMP003_profile_0c89d17f1644
2026-06-27 09:34:17 | INFO     | embedding_mgr | Found DB ID: EMP003_profile_0c89d17f1644
2026-06-27 09:34:17 | INFO     | embedding_mgr | \u23f1\ufe0f  Starting load_db...
2026-06-27 09:34:17 | INFO     | embedding_mgr | Loading FAISS index from disk: EMP003_profile_0c89d17f1644
2026-06-27 09:34:17 | INFO     | embedding_mgr |   Path: F:\Kyle\Coding\ESG_HRMS\data\AIDB\vector_dbs\employees\EMP003\profile\EMP003_profile_0c89d17f1644
2026-06-27 09:34:17 | INFO     | embedding_mgr | Index file size: 0.0 MB
2026-06-27 09:34:17 | INFO     | embedding_mgr | Index loaded successfully
2026-06-27 09:34:17 | INFO     | embedding_mgr | \u2705 Completed load_db in 0.02s
2026-06-27 09:34:17 | INFO     | embedding_mgr | \u2705 Completed load_employee_db in 0.04s
2026-06-27 09:34:17 | INFO     | development_manager |   \u2713 Retrieved 4 chunks from profile vector DB
2026-06-27 09:34:17 | INFO     | development_manager |   Found 14 skills for EMP003
2026-06-27 09:34:17 | INFO     | __main__ | [GET] /api/employees/EMP003/skills ¡ú 200 in 0.08s
2026-06-27 09:34:19 | INFO     | development_manager | Extracting skills for employee: EMP009
2026-06-27 09:34:19 | INFO     | embedding_mgr | \u23f1\ufe0f  Starting load_employee_db...
2026-06-27 09:34:19 | INFO     | embedding_mgr | Loading employee DB: EMP009 (cv)
2026-06-27 09:34:19 | INFO     | version_manager | No existing metadata for EMP009_cv
2026-06-27 09:34:19 | WARNING  | version_manager | No current DB ID for EMP009_cv
2026-06-27 09:34:19 | ERROR    | embedding_mgr | No embedded cv found for employee: EMP009
2026-06-27 09:34:19 | ERROR    | embedding_mgr | \u274c Failed load_employee_db after 0.00s: No embedded cv found for employee: EMP009
2026-06-27 09:34:19 | INFO     | development_manager |   \u2139\ufe0f  No cv database found for employee EMP009 (document not yet embedded)
2026-06-27 09:34:19 | INFO     | embedding_mgr | \u23f1\ufe0f  Starting load_employee_db...
2026-06-27 09:34:19 | INFO     | embedding_mgr | Loading employee DB: EMP009 (profile)
2026-06-27 09:34:19 | INFO     | version_manager | Loaded metadata for EMP009_profile: 1 versions
2026-06-27 09:34:19 | INFO     | version_manager | Current DB ID for EMP009_profile: EMP009_profile_825cea71140a
2026-06-27 09:34:19 | INFO     | embedding_mgr | Found DB ID: EMP009_profile_825cea71140a
2026-06-27 09:34:19 | INFO     | embedding_mgr | \u23f1\ufe0f  Starting load_db...
2026-06-27 09:34:19 | INFO     | embedding_mgr | Loading FAISS index from disk: EMP009_profile_825cea71140a
2026-06-27 09:34:19 | INFO     | embedding_mgr |   Path: F:\Kyle\Coding\ESG_HRMS\data\AIDB\vector_dbs\employees\EMP009\profile\EMP009_profile_825cea71140a
